id,p11,p13,p16,p18,p20,p22,p23,p24,p27,p28,p33,p35,p39,p43,p46,p50,p52,p56,p58,p60,p65,p68,p73,p77,income,p82,p85
调查户1,48,3,0,0,0,29.93115834,10.38611194,0,0,59.68272972,1,1,0,100,0.7,0,0,34000,14000,150,160,3,4,0,11136.66667,17564.01505,7849.122942
调查户2,42,6,1,0,0,55.97349095,9.224431309,0,0,34.80207774,1,0,0,200,1,0,0,1500,0,15444,455,3,5,1,7444,17564.01505,7849.122942
调查户3,63,5,1,1,0,64.27354822,13.81881287,0,0,21.90763891,1,1,0,0,2.5,0,0,5100,2100,1117,250,3,5,0,6223.4,17564.01505,7849.122942
调查户4,38,4,1,0,0,80.06405124,21.21697358,0,0,-1.28102482,0,1,0,0,1.5,0,0,700,200,400,120,2,5,0,3122.5,17564.01505,7849.122942
调查户5,33,2,1,1,0,4.035186829,4.487127754,0,0,91.47768542,1,1,0,0,1.2,0,0,17000,7000,15160,250,3,5,0,24782,17564.01505,7849.122942
调查户6,56,2,0,0,1,23.34703026,22.88942846,0,0,53.76354128,1,1,0,0,2.7,0,0,7000,0,917,250,2,1,1,5354,17564.01505,7849.122942
调查户7,38,2,0,1,1,0,3.833865815,0,0,96.16613419,0,1,0,300,0,1,0,2500,0,200,200,2,1,1,15650,17564.01505,7849.122942
调查户8,65,7,1,1,1,88.13345924,17.31192949,0,0,-5.445388732,1,1,0,0,2,0,0,22000,0,1220,225,2,1,1,4538.571429,17564.01505,7849.122942
调查户9,67,6,1,1,0,68.91957086,9.396034827,0,0.07121689,21.61317742,1,0,0,1200,0.5,0,0,1800,300,8628,300,2,3,0,7254.833333,17564.01505,7849.122942
调查户10,50,6,1,1,1,56.04259237,12.393419,0,0,31.56398863,1,0,0,0,3,0,1,2400,900,15500,330,2,1,1,8327,17564.01505,7849.122942
调查户11,66,6,1,1,1,89.97188379,11.11527648,0,0,-1.087160262,0,1,0,0,4.5,0,0,15000,0,500,300,2,1,1,8891.666667,17564.01505,7849.122942
调查户12,55,4,1,0,0,47.1475719,5.657708628,0,0,47.19471947,1,1,0,300,0,0,0,2800,300,560,360,2,3,0,10605,17564.01505,7849.122942
调查户13,54,4,1,0,0,56.56108597,10.52036199,0,0,32.91855204,1,0,0,250,1,0,0,7000,2000,17000,110,2,5,1,8840,17564.01505,7849.122942
调查户14,40,3,1,0,0,96.33911368,6.936416185,0,0,-3.275529865,1,1,0,250,0,1,0,1200,400,200,180,2,5,0,8650,17564.01505,7849.122942
调查户15,51,1,0,1,0,0,13.4529148,0,0,86.5470852,0,1,0,150,0,1,0,8000,6000,140,200,2,5,0,4460,17564.01505,7849.122942
调查户16,53,1,0,0,1,0,4.6875,0,0,95.3125,0,1,0,300,0,0,0,600,360,1500,240,2,1,0,19200,17564.01505,7849.122942
调查户17,49,2,0,0,1,0,43.18573893,0,0,56.81426107,0,1,0,0,2,0,0,500,300,320,240,2,1,0,8695,17564.01505,7849.122942
调查户18,61,5,1,0,1,0,24.8465361,0,0,75.1534639,0,1,0,800,0,0,0,16000,14000,700,240,2,1,0,6842,17564.01505,7849.122942
调查户19,38,2,0,0,1,28.08158439,14.49896542,0,0,57.41945019,1,0,1,300,0.4,0,0,2000,1200,6150,200,2,2,1,6766,17564.01505,7849.122942
调查户20,40,3,1,0,0,0,12.87381473,0,0,87.12618527,0,1,0,0,1.3,0,0,200,0,350,160,2,5,0,9140,17564.01505,7849.122942
调查户21,36,4,1,1,0,0,10.71122536,0,0,89.28877464,0,1,0,370,0,0,0,700,100,320,200,2,5,0,5835,17564.01505,7849.122942
调查户22,48,3,1,0,0,0,16.00625652,0,0,83.99374348,0,1,0,0,2,0,0,300,50,370,240,2,5,0,6393.333333,17564.01505,7849.122942
调查户23,61,4,1,1,1,0,35.85078384,17.16443529,0,46.98478087,0,0,0,0,3.33,0,1,10000,0,500,275,2,1,1,4369.5,17564.01505,7849.122942
调查户24,40,3,1,0,1,2.867465734,15.51298962,0,0,81.61954465,1,1,0,150,1.5,0,0,200,0,1212,275,2,1,1,5812.333333,17564.01505,7849.122942
调查户25,32,3,0,0,0,12.39280226,9.418529718,0,0,78.18866802,1,1,0,430,0,0,0,3600,1300,16706,282,2,5,1,13448.66667,17564.01505,7849.122942
调查户26,44,2,1,0,1,25.34854246,12.38910013,0,0,62.26235741,1,1,0,300,0.6,0,0,7600,4300,210,120,2,1,0,15780,17564.01505,7849.122942
调查户27,64,1,0,1,1,24.40512508,13.36180598,0,0.91519219,61.31787675,1,1,0,0,2,0,0,1000,600,410,280,2,1,0,32780,17564.01505,7849.122942
调查户28,77,4,1,1,1,16.69216859,15.12032272,0,0.55640562,67.63110307,1,1,0,0,2,0,0,1000,500,300,310,2,1,0,8986.25,17564.01505,7849.122942
调查户29,37,4,1,1,1,0,19.54432182,0,0,80.45567818,0,1,0,300,1,0,0,1100,660,180,260,2,1,0,7022.5,17564.01505,7849.122942
调查户30,60,2,0,0,1,72.46376812,24.34782609,0,0,3.188405797,1,1,0,0,1.5,0,1,10000,7000,350,120,2,1,0,6900,17564.01505,7849.122942
调查户31,47,3,1,0,0,45.71428571,9.165714286,0,0,45.12,1,1,0,0,2,0,0,1000,700,300,240,2,5,0,14583.33333,17564.01505,7849.122942
调查户32,50,4,0,1,0,75.2038023,14.57449689,0,0,10.22170081,1,1,0,0,2.5,0,0,500,400,448,240,2,5,0,8310.75,17564.01505,7849.122942
调查户33,83,2,0,1,0,0,9.077155825,0,0,90.92284418,0,0,0,600,0,0,0,300,200,200,100,2,3,0,6610,17564.01505,7849.122942
调查户34,51,2,0,0,0,91.1410864,8.919674323,0,0,-0.060760724,1,0,0,0,2,0,0,500,400,320,280,2,5,0,16458,17564.01505,7849.122942
调查户35,62,5,0,1,0,0,15.15864304,78.40677435,0.005227118,6.429355496,0,0,0,0,2,0,1,1925,1375,300,360,2,5,0,7652.4,17564.01505,7849.122942
调查户36,63,7,1,1,0,80.45640726,9.947337624,0,0,9.59625512,0,1,0,0,5,0,0,800,300,3400,240,2,5,0,9765.714286,17564.01505,7849.122942
调查户37,44,4,1,0,0,95.62433298,6.658697972,0,0.003415155,-2.286446105,1,1,0,0,1.5,0,0,300,0,621,245,2,5,0,14640.625,17564.01505,7849.122942
调查户38,48,4,1,0,0,0,7.851491175,91.29640901,0.006086427,0.84601339,0,0,0,0,3,0,0,690,90,838,325,2,5,0,8215,17564.01505,7849.122942
调查户39,44,4,1,1,0,11.43347149,9.37544662,0,0.002858368,79.18822352,1,1,0,0,2,0,0,120000,50000,1984,315,3,5,1,8746.25,17564.01505,7849.122942
调查户40,47,5,1,0,0,88.31321754,12.65822785,0,0.002943774,-0.974389167,0,1,0,0,2,0,0,990,390,419,180,3,5,0,6794,17564.01505,7849.122942
调查户41,46,5,1,0,0,76.62590594,16.76191692,0,0.003192746,6.608984387,1,1,0,0,2.5,0,0,640,240,2720,200,3,5,0,6264.2,17564.01505,7849.122942
调查户42,66,2,0,1,0,39.91060026,23.43550447,0,0.01197318,36.64192209,1,0,0,0,2.1,0,0,330,130,7501,400,3,5,0,12528,17564.01505,7849.122942
调查户43,51,4,1,0,1,58.65631909,29.32815955,0,0.009024049,12.00649732,0,1,1,0,8,0,1,4000,0,521,200,2,1,0,5540.75,17564.01505,7849.122942
调查户44,65,7,1,1,1,83.71878859,15.48797589,0,0,0.793235522,0,1,0,0,4,0,0,3500,1500,349,320,2,1,0,6825.571429,17564.01505,7849.122942
调查户45,48,2,0,0,0,0,15.58409176,0,0.149607281,84.26630096,0,1,0,0,2,0,0,100,0,3078,240,2,5,0,8021,17564.01505,7849.122942
调查户46,42,5,1,1,1,71.46569647,13.22115385,7.796257796,0,7.516891892,1,0,0,0,2,0,0,5000,2000,2304,270,2,2,0,6156.8,17564.01505,7849.122942
调查户47,69,4,0,1,0,43.01815366,10.32435688,0,0,46.65748946,1,0,1,480,0,1,0,5000,3000,2716,240,2,3,0,5811.5,17564.01505,7849.122942
调查户48,29,3,0,0,0,33.09504898,9.895419645,0,3.309504898,53.70002648,1,1,0,0,1.4,0,0,450,250,346,240,2,5,0,10072,17564.01505,7849.122942
调查户49,60,1,0,1,0,47.21930745,9.496327387,0,0,43.28436516,1,1,0,0,1.6,0,0,400,100,350,270,2,5,0,19060,17564.01505,7849.122942
调查户50,49,3,1,0,0,73.8177624,22.26066897,0,-0.92272203,4.844290657,1,1,0,0,3,0,1,500,0,350,420,2,5,0,7225,17564.01505,7849.122942
调查户51,52,2,0,0,1,23.01495972,16.41733794,0,0,60.56770234,1,1,0,0,2,0,1,100,0,350,250,2,1,0,13035,17564.01505,7849.122942
调查户52,58,2,0,0,1,47.52851711,20.62737643,0,0,31.84410646,1,0,0,0,2,0,0,6000,1300,360,175,2,1,1,10520,17564.01505,7849.122942
调查户53,74,2,0,1,0,0,27.94457275,0,0,72.05542725,0,1,0,0,2,0,0,600,0,1600,100,2,3,0,8660,17564.01505,7849.122942
调查户54,56,4,0,0,0,116.6407465,7.435847589,13.12208398,0,-37.19867807,0,1,0,0,1.4,0,0,800,0,352,120,2,5,0,10288,17564.01505,7849.122942
调查户55,45,4,1,0,1,72.45151786,7.486656845,0,0,20.0618253,1,0,1,0,1,0,0,7200,0,6347,225,2,1,0,10351.75,17564.01505,7849.122942
调查户56,46,3,0,0,0,75.28230866,11.62693434,0,0,13.09075701,1,0,0,0,2,0,0,1000,0,3800,240,2,5,1,7970,17564.01505,7849.122942
调查户57,41,5,1,0,0,82.98755187,9.460580913,0,0,7.55186722,0,1,0,0,1,0,0,500,200,180,360,2,5,0,7230,17564.01505,7849.122942
调查户58,77,2,0,1,0,66.28369421,16.34997791,0,0,17.36632788,1,0,0,0,2.5,0,0,1500,825,1810,40,2,5,0,11315,17564.01505,7849.122942
调查户59,78,5,1,1,0,5.119698552,26.11046262,0,0,68.76983883,1,1,0,0,5,0,0,10000,9500,1500,400,2,3,0,19532.4,17564.01505,7849.122942
调查户60,56,4,1,0,1,3.123384456,5.16973979,0,0.344649319,91.36222643,1,1,0,420,0,1,0,10000,2500,354,650,2,1,1,11606,17564.01505,7849.122942
调查户61,62,4,0,1,0,0,91.06915571,0,0,8.930844294,0,0,0,500,0.8,0,0,8000,5000,1560,110,2,3,1,11785,17564.01505,7849.122942
调查户62,61,4,0,1,0,59.7133758,8.160828025,0,0,32.12579618,0,1,0,0,2,0,0,1380,180,16150,320,3,5,0,12560,17564.01505,7849.122942
调查户63,50,3,0,1,0,55.85344057,6.143878463,0,0,38.00268097,1,1,0,0,2,0,0,3700,2000,722,300,2,5,0,17904,17564.01505,7849.122942
调查户64,46,2,0,0,0,90.02520706,3.601008282,0,0,6.37378466,1,0,0,200,0,0,0,1300,0,2404,200,2,5,1,16662,17564.01505,7849.122942
调查户65,74,2,0,1,1,0,5.71501143,0,0,94.28498857,0,0,0,0,2,0,0,2000,0,300,200,2,1,0,11811,17564.01505,7849.122942
调查户66,38,5,1,0,0,92.55450432,8.329905389,0,0,-0.884409708,0,1,0,0,2,0,0,800,400,220,240,2,5,0,9724,17564.01505,7849.122942
调查户67,68,4,0,1,1,71.26821794,15.85361508,0,0.003563411,12.87460357,1,1,0,0,3,0,0,1600,600,1043,200,2,1,0,7015.75,17564.01505,7849.122942
调查户68,63,4,0,1,0,6.200396825,7.419808201,0,0,86.37979497,1,1,0,0,1.2,1,0,3800,1800,274,220,3,5,0,12096,17564.01505,7849.122942
调查户69,62,4,1,1,0,25.44270303,7.693873397,0,0,66.86342357,1,1,0,0,3,1,0,3800,1800,15444,220,3,5,0,24565,17564.01505,7849.122942
调查户70,53,2,0,0,0,38.16793893,4.809160305,19.08396947,0,37.9389313,1,1,0,0,2.5,0,0,570,270,1150,230,3,5,0,26200,17564.01505,7849.122942
调查户71,62,5,1,1,0,79.0166813,8.72475856,0,0,12.25856014,1,0,0,0,4,0,0,5000,3500,9400,350,3,5,0,18224,17564.01505,7849.122942
调查户72,56,3,0,0,0,74.62315308,23.13815233,0,0,2.238694592,1,0,0,0,3,0,0,2000,5000,720,375,2,3,0,6700.333333,17564.01505,7849.122942
调查户73,51,5,0,1,1,0,12.72750414,84.85002758,0,2.422468287,0,0,0,100,0,0,0,800,0,61,300,2,1,0,4714.2,17564.01505,7849.122942
调查户74,40,2,1,0,0,0,13.89501692,5.052121049,0,81.05286203,0,1,0,0,3,1,0,300,0,8910,360,3,5,0,29690.5,17564.01505,7849.122942
调查户75,39,3,1,1,1,0,13.62979611,0,0,86.37020389,0,1,0,0,2.5,0,0,1500,1000,1500,180,2,1,0,10381.66667,17564.01505,7849.122942
调查户76,44,2,0,0,0,0,3.878474467,0,0,96.12152553,0,1,0,700,0,0,0,500,300,300,240,2,5,0,15470,17564.01505,7849.122942
调查户77,51,1,0,0,0,0,0.990752972,0,0,99.00924703,0,1,0,500,0,0,0,3000,2400,520,280,2,5,0,60560,17564.01505,7849.122942
调查户78,53,2,0,0,0,0,43.33764554,0,0,56.66235446,0,1,0,0,4,0,1,350,250,650,220,2,5,0,3865,17564.01505,7849.122942
调查户79,61,2,0,1,0,7.773027594,15.00194326,0,0,77.22502915,1,0,0,0,3.5,0,1,3000,1500,1350,200,2,5,0,12865,17564.01505,7849.122942
调查户80,47,4,1,0,1,0,21.11158983,0,0,78.88841017,0,1,0,175,0,0,0,16000,5000,450,200,2,1,1,5802.5,17564.01505,7849.122942
调查户81,43,5,0,1,0,0,8.120178644,91.35200974,0,0.527811612,0,0,0,250,0,0,0,600,100,450,240,2,5,0,9852,17564.01505,7849.122942
调查户82,34,3,1,0,0,48.97159647,5.044074437,0,0,45.98432909,0,1,0,0,0.5,0,0,1000,500,340,200,2,5,0,13613.33333,17564.01505,7849.122942
调查户83,48,3,1,0,0,94.58297506,7.738607051,0,0,-2.321582115,1,0,0,430,0,1,0,1500,1000,420,210,2,5,0,7753.333333,17564.01505,7849.122942
调查户84,46,3,1,1,0,0,4.34887654,0,0,95.65112346,0,1,0,430,0,1,0,3000,1500,280,240,2,5,0,13796.66667,17564.01505,7849.122942
调查户85,52,2,0,0,1,0,4.06476526,0,0,95.93523474,0,1,0,0,2.2,0,0,20000,8000,324,390,2,1,1,29522,17564.01505,7849.122942
调查户86,34,3,0,1,0,96.75671492,3.483241737,0,0,-0.239956653,0,1,0,150,0,0,0,2000,0,426,260,2,5,0,17225.33333,17564.01505,7849.122942
调查户87,45,4,1,0,0,90.49955756,10.15606146,0,0,-0.655619017,1,0,0,0,2,0,0,1000,0,654,170,2,5,0,12431,17564.01505,7849.122942
调查户88,76,1,0,1,0,82.30452675,8.230452675,0,0,9.465020576,1,0,0,180,0,0,0,2000,450,200,120,2,3,0,7290,17564.01505,7849.122942
调查户89,36,5,1,1,0,37.03233452,3.174200102,52.90333503,0,6.890130354,1,0,0,300,0,0,0,3000,1000,6502,260,2,5,0,18902.4,17564.01505,7849.122942
调查户90,47,3,0,0,1,60.14374355,4.912741452,0,0,34.943515,1,0,0,0,1.5,0,0,13000,0,18300,300,2,1,0,16626.83333,17564.01505,7849.122942
调查户91,44,2,1,0,0,11.92605844,9.242695289,0,0,78.83124627,1,1,0,0,1.5,0,0,1050,650,200,240,3,5,0,12577.5,17564.01505,7849.122942
调查户92,53,3,0,1,0,0,6.042296073,0,0,93.95770393,0,1,0,0,2.5,0,0,0,0,15400,300,3,3,1,19860,17564.01505,7849.122942
调查户93,49,5,1,1,0,38.72216844,8.325266215,0,0,52.95256534,1,0,0,0,2,0,1,2750,2450,26080,240,3,5,1,10330,17564.01505,7849.122942
调查户94,52,3,0,0,1,68.52075776,13.90568319,0,-0.523982265,18.09754131,1,0,0,0,3,0,1,12000,11330,5900,154,2,1,0,8270,17564.01505,7849.122942
调查户95,50,4,1,0,0,5.316321106,7.097288676,0,0,87.58639022,1,1,0,0,1.3,0,0,0,0,15200,270,2,5,0,9405,17564.01505,7849.122942
调查户96,45,2,0,1,1,70.72135785,13.79066478,0,0,15.48797737,1,0,0,0,2,0,0,1200,700,3700,220,2,1,0,14140,17564.01505,7849.122942
调查户97,39,4,1,0,1,49.71259904,13.93506292,0,0,36.35233805,1,1,0,0,2,0,0,55000,30000,350,330,2,1,0,8046.25,17564.01505,7849.122942
调查户98,54,4,1,0,1,5.354274496,6.068177762,0,0,88.57754774,1,1,0,300,0,1,0,1000,400,350,230,2,1,0,14007.5,17564.01505,7849.122942
调查户99,61,3,1,1,1,0,9.014156034,0,0,90.98584397,0,1,0,0,2,0,0,4000,2000,711,300,2,1,0,10502,17564.01505,7849.122942
调查户100,50,5,1,0,1,80.08542445,8.008542445,0,0,11.9060331,1,1,0,430,0,0,0,1000,250,400,300,2,1,0,7492,17564.01505,7849.122942
调查户101,58,5,1,1,1,0,16.03669413,0,0,83.96330587,0,1,0,0,3,0,0,2000,500,2200,300,2,1,1,4709.2,17564.01505,7849.122942
调查户102,57,3,0,0,1,0,10.19258926,0,0,89.80741074,0,1,0,0,2.5,0,0,2500,600,300,390,2,1,1,14798.33333,17564.01505,7849.122942
调查户103,58,1,0,0,1,51.28205128,36.15384615,0,0,12.56410256,1,0,0,0,0.5,0,0,0,0,700,70,2,1,0,3900,17564.01505,7849.122942
调查户104,56,3,0,0,1,71.62682425,29.13421076,0,0,-0.761035008,1,0,0,0,1.8,0,0,5000,0,300,260,2,1,0,7446,17564.01505,7849.122942
调查户105,44,2,0,1,1,0,24.69135802,0,0,75.30864198,0,1,0,0,0,0,0,3000,1800,140,160,2,1,0,14580,17564.01505,7849.122942
调查户106,43,2,0,1,0,40.99760847,44.78988726,0,0,14.21250427,1,0,0,0,1,0,0,1000,600,200,70,2,3,0,7317.5,17564.01505,7849.122942
调查户107,41,1,1,0,1,0,9.519492294,0,0,90.48050771,0,1,0,800,0,0,0,10000,2000,230,200,2,1,0,22060,17564.01505,7849.122942
调查户108,37,7,1,1,1,76.41542202,18.47863842,0,0.003473428,5.102466134,1,0,0,0,7,0,0,15000,5000,1939,220,2,1,1,4112.857143,17564.01505,7849.122942
调查户109,43,2,0,0,0,0,28.45124283,0,0,71.54875717,0,1,0,0,5,0,1,1500,0,270,300,3,5,0,13075,17564.01505,7849.122942
调查户110,64,5,1,1,0,0,11.26570916,0,0,88.73429084,0,1,0,0,3,0,0,2100,300,15450,300,2,3,1,8912,17564.01505,7849.122942
调查户111,60,2,0,1,0,0,13.74795417,0,0,86.25204583,0,1,0,0,3,0,0,15200,7200,320,240,3,3,0,12220,17564.01505,7849.122942
调查户112,46,3,1,0,0,35.30450132,21.47690497,0,0,43.2185937,1,0,0,0,2,0,0,500,0,15200,300,3,5,0,11330,17564.01505,7849.122942
调查户113,61,4,1,1,1,72.44155917,16.52224792,0,0.002786214,11.0334067,1,0,0,0,2,0,0,36000,6000,3560,300,2,1,1,8972.75,17564.01505,7849.122942
调查户114,54,4,0,1,1,0,13.49745331,0,0,86.50254669,0,1,0,0,2,0,0,20000,14000,200,300,2,1,1,5890,17564.01505,7849.122942
调查户115,66,4,1,1,1,0,7.982021079,0,0,92.01797892,0,1,0,0,1,0,1,4000,0,472,300,2,1,0,9678,17564.01505,7849.122942
调查户116,47,3,1,0,1,0,12.7909826,0,0.00245038,87.20656702,0,1,0,0,4,0,0,3200,0,1149,100,2,1,1,13603.33333,17564.01505,7849.122942
调查户117,59,1,0,0,1,0,38.94042969,0,0,61.05957031,0,1,0,0,4,0,0,11700,3000,1382,160,2,1,0,8192,17564.01505,7849.122942
调查户118,33,2,1,0,1,0,1.978663413,24.73329266,0.001648886,73.28639504,0,1,0,500,0,1,0,375,225,426,250,2,1,0,30323.5,17564.01505,7849.122942
调查户119,38,3,1,1,1,0,12.16087458,0,0.040118349,87.79900707,0,1,1,0,6,0,1,250,0,3996,350,2,1,0,13294,17564.01505,7849.122942
调查户120,52,3,1,0,0,0,27.13868225,0,0,72.86131775,0,1,0,0,4,0,0,9300,1300,3390,275,2,5,0,10037.33333,17564.01505,7849.122942
调查户121,43,4,0,1,1,21.20864315,11.53999701,0,0.224562104,67.02679774,1,1,0,0,4,1,0,7000,5000,16256,275,2,1,0,20039,17564.01505,7849.122942
调查户122,52,2,1,1,0,0,4.333622241,0,0,95.66637776,0,1,0,0,1.6,1,1,600,200,468,220,2,3,1,14999,17564.01505,7849.122942
调查户123,65,2,0,1,0,0,25.3056985,0,0,74.6943015,0,1,0,0,6,0,1,900,300,544,120,2,3,0,10590.5,17564.01505,7849.122942
调查户124,61,2,0,0,0,81.63598514,8.673823421,0,0.11020858,9.579982856,1,1,0,0,2,0,0,1500,500,627,160,2,5,0,12249.5,17564.01505,7849.122942
调查户125,48,6,1,0,0,80.50581213,4.638901979,0,0.294533459,14.56075243,1,0,0,0,3,1,0,1080,480,15771,270,3,5,0,16976,17564.01505,7849.122942
调查户126,38,4,1,0,0,0,7.098591549,0,0,92.90140845,0,1,0,0,2,0,0,400,0,120,200,3,5,1,13312.5,17564.01505,7849.122942
调查户127,44,2,0,0,0,34.92026539,7.333255733,0,0,57.74647887,1,1,0,0,6,0,1,500,0,120,275,3,5,0,42955,17564.01505,7849.122942
调查户128,32,3,0,0,0,0,12.46809082,0,0,87.53190918,0,1,0,0,6,0,0,500,0,1000,300,3,5,0,24810,17564.01505,7849.122942
调查户129,68,2,1,1,0,25.53191489,7.234042553,0,0,67.23404255,1,1,0,240,0,1,0,0,0,510,230,2,5,1,11750,17564.01505,7849.122942
调查户130,60,2,0,0,0,0,15.77771572,0,0,84.22228428,0,1,0,500,2,0,1,2000,1300,15800,120,2,5,1,17905,17564.01505,7849.122942
调查户131,35,2,1,0,0,0,1.286890872,0,0,98.71310913,0,1,0,0,0,1,0,1000,0,2698,300,2,5,0,46624,17564.01505,7849.122942
调查户132,54,2,0,0,0,19.38735944,22.68321055,0,0,57.92943001,1,1,0,0,4,0,0,20000,13000,3500,280,2,5,0,12895,17564.01505,7849.122942
调查户133,50,2,0,0,0,22.35136343,27.49217702,0,0,50.15645954,1,1,0,0,20,0,0,600,400,2800,240,2,5,0,22370,17564.01505,7849.122942
调查户134,38,2,1,0,0,0,5.258545136,0,0,94.74145486,0,1,0,600,0,0,0,0,0,2100,300,2,5,0,11410,17564.01505,7849.122942
调查户135,46,3,1,0,0,20.98635887,11.56348374,0,0,67.4501574,1,1,0,0,2,0,0,600,300,2800,240,2,5,0,15883.33333,17564.01505,7849.122942
调查户136,59,3,0,0,1,0,12.76194468,0,0,87.23805532,0,1,0,0,4.8,0,0,3000,1200,2200,240,2,1,0,15906.66667,17564.01505,7849.122942
调查户137,48,3,0,0,1,42.75636001,1.2826908,21.37818,0.09263878,34.49013041,0,1,0,300,0,0,0,700,0,2760,250,2,1,0,46776.66667,17564.01505,7849.122942
调查户138,55,7,1,0,0,73.87433975,11.03682636,0,0,15.08883389,1,1,0,150,1.3,0,0,1000,0,2000,390,2,5,0,7735.142857,17564.01505,7849.122942
调查户139,47,4,1,0,1,65.63245823,3.838504375,0,0,30.52903739,1,1,0,0,2,0,0,300,0,3350,240,2,1,0,25140,17564.01505,7849.122942
调查户140,48,4,1,1,1,43.19032537,7.080813898,0,0,49.72886074,1,1,0,400,1,0,0,2000,1300,215,210,2,1,0,10419,17564.01505,7849.122942
调查户141,60,4,0,1,1,5.811250581,5.956531846,0,0.585483496,87.64673408,1,1,0,500,0,1,0,8500,2500,15169,210,2,1,0,17208,17564.01505,7849.122942
调查户142,54,4,0,0,1,29.16632909,6.251316536,0,0,64.58235437,1,1,0,0,3.6,0,0,6000,0,817,260,2,1,1,15428.75,17564.01505,7849.122942
调查户143,65,3,1,1,0,0,2.74043512,0,3.867058447,93.39250643,0,1,0,430,0,1,0,7700,930,2833,390,2,5,1,21894.33333,17564.01505,7849.122942
调查户144,55,2,0,0,0,95.07004761,2.366863905,0,0,2.563088484,0,1,0,0,1.2,0,0,5000,3000,2206,380,2,5,0,52592.8,17564.01505,7849.122942
调查户145,68,3,0,1,0,0,22.30580826,0,0,77.69419174,0,1,0,0,1,0,0,1755,855,662,240,3,3,1,3810.666667,17564.01505,7849.122942
调查户146,84,5,1,1,0,80.02845456,11.78196692,0,0,8.189578517,0,1,0,0,3,0,0,4000,800,3414,330,3,3,1,8996.8,17564.01505,7849.122942
调查户147,52,4,1,0,0,32.48862898,7.63482781,0,0,59.87654321,1,1,0,0,2,0,1,500,0,1080,330,2,4,1,7695,17564.01505,7849.122942
调查户148,73,5,1,1,1,58.22698821,20.37944587,0,0,21.39356592,0,1,0,0,4,0,0,3500,500,1548,360,2,1,1,8243.6,17564.01505,7849.122942
调查户149,63,3,0,1,1,84.71530523,17.45648714,0,0,-2.17179237,1,1,0,0,4,0,1,1500,0,507,180,2,2,1,6492.333333,17564.01505,7849.122942
调查户150,44,4,1,0,1,86.78596844,7.421936021,0,0,5.792095534,1,0,0,0,3,0,0,3000,0,897,360,2,1,1,14403.25,17564.01505,7849.122942
调查户151,42,4,1,0,1,89.03067849,8.903067849,0,0,2.066253663,1,0,0,500,0,0,0,6500,3000,937,330,2,1,1,6739.25,17564.01505,7849.122942
调查户152,47,4,0,0,1,92.3903914,5.837392911,0,0,1.77221569,0,1,0,0,2.4,0,1,400,0,1204,360,2,1,1,11906,17564.01505,7849.122942
调查户153,70,3,1,1,1,0,10.4222341,0,0,89.5777659,0,1,0,250,1,0,0,3800,800,860,280,2,1,1,6236.666667,17564.01505,7849.122942
调查户154,51,4,0,0,0,79.13449473,4.640672869,11.30492782,0,4.919904586,1,1,0,0,4,0,0,200,0,412,390,2,5,0,22114.25,17564.01505,7849.122942
调查户155,40,4,1,0,1,55.8269365,16.12002791,0,0,28.05303559,1,1,0,0,3,0,0,2000,800,600,120,2,1,0,8956.25,17564.01505,7849.122942
调查户156,46,1,0,0,1,0,1.773573751,0,0,98.22642625,0,1,1,600,0,0,0,30000,18000,15200,320,2,1,1,33830,17564.01505,7849.122942
调查户157,48,5,0,0,1,85.87191173,7.555768769,0,0,6.572319501,1,1,0,0,2,0,0,20000,5000,900,130,2,1,0,16676,17564.01505,7849.122942
调查户158,61,3,1,1,1,93.26545681,6.99490926,0,0,-0.260366067,0,1,0,400,0,1,0,6000,0,293,360,2,1,1,8577.666667,17564.01505,7849.122942
调查户159,60,2,0,0,0,85.01594049,12.75239107,0,0,2.231668438,0,1,0,500,0,1,0,1400,400,750,200,2,5,1,4705,17564.01505,7849.122942
调查户160,57,3,0,0,1,0,18.30894835,0,0,81.69105165,0,1,0,0,1,0,0,9600,3600,662,360,3,1,0,8247.333333,17564.01505,7849.122942
调查户161,68,4,1,1,1,0,31.8061611,0,0,68.1938389,0,1,0,0,6,0,0,1950,950,3062,360,3,1,0,6995.5,17564.01505,7849.122942
调查户162,63,2,0,1,1,0,16.97375218,0,0,83.02624782,0,1,0,0,2,0,0,1000,0,20331,333,3,2,0,20325.5,17564.01505,7849.122942
调查户163,47,3,0,1,1,0,1.210901257,0,0,98.78909874,0,1,0,0,1,0,0,2080,480,236766,270,3,1,0,84785.33333,17564.01505,7849.122942
调查户164,52,4,0,0,0,0,7.854312921,92.67625866,0.048655036,-0.579226617,0,0,0,0,1,0,0,1000,0,650,240,2,4,0,10790.25,17564.01505,7849.122942
调查户165,42,3,1,0,0,54.02485143,4.051863857,0,0,41.92328471,0,1,0,400,0,0,0,0,0,19194,360,2,5,1,14808,17564.01505,7849.122942
调查户166,32,5,1,1,1,86.32348286,17.26469657,0,0,-3.588179438,1,0,0,0,4,0,0,26000,6000,943,400,2,1,1,6950.6,17564.01505,7849.122942
调查户167,46,3,0,0,0,85.17484503,6.246155302,0,0,8.578999669,1,1,0,0,2,0,1,2400,400,386,220,2,5,1,14088.66667,17564.01505,7849.122942
调查户168,70,4,1,1,1,0,12.2981654,0,0,87.7018346,0,1,1,0,4,0,0,1200,200,720,360,2,2,0,8639.5,17564.01505,7849.122942
